# format: status<TAB>path<TAB>content-identity
# source: local live worktree metadata only; file contents are not recorded
# live-head: fbe77cffbd8d1df5588d220e2450e6fd6fd389d0
# origin-main: 12bc124ee69b524b17cd78ea7186204c5fd935b8
# entries: 218
 D	skills/packaged/foundry/cognitive-lensing.skill.zip	git:bc3e08eff95ed77f4c0975880c67969557a78974
 D	skills/packaged/foundry/eval-harness.skill.zip	git:56c862d75a57ad35acc16b10ace5f5decf83bfdb
 D	skills/packaged/foundry/improvement-pipeline.skill.zip	git:c9d1ece4fafa5924e247d9eb33d33eed4b2e4f3e
 D	skills/packaged/foundry/meta-tools.skill.zip	git:b3c45e3de29ac3970c6386c9e5c54703feb0b0d1
 D	skills/packaged/foundry/micro-skill-creator.skill.zip	git:3846a42078fdad0607f18108713b99e550f12747
 D	skills/packaged/foundry/pilot-1-code-formatter.skill.zip	git:4a69a8191d36094abbdd5b2373853259ebe8a937
 D	skills/packaged/foundry/playbook-architect.skill.zip	git:73870acee92ea89d48b1ec94c53516e6b1820803
 D	skills/packaged/foundry/prompt-architect.skill.zip	git:71776c3fa6eedf030e3d557fb0f876e582af0054
 D	skills/packaged/foundry/prompt-forge.skill.zip	git:cfa9b93ca92d397772d899e4d7e07ef41dcd66ec
 D	skills/packaged/foundry/recursive-improvement.skill.zip	git:4e3c5282fa250d990336129a14ed04edbd30a977
 D	skills/packaged/foundry/skill-builder.skill.zip	git:fa45839444e7a4695b06cf986a37ad7744f1b3e0
 D	skills/packaged/foundry/skill-creator-agent.skill.zip	git:b832e2c16ecb0f40a8079f8a0cd8df06b51df185
 D	skills/packaged/foundry/skill-forge.skill.zip	git:015b84e2df3a5eed61538427a6e0f70c4a67a6a8
 D	skills/packaged/gap-reconnaissance/gap-reconnaissance.skill.zip	git:5d36eaec2e0d1a34a63043436edee1526eb6f883
 D	skills/packaged/guards/library-check.skill.zip	git:757abbba98991996f5eacb5d7f02ba5ddb31630c
 D	skills/packaged/operations/aws-specialist.skill.zip	git:a16f57c8011d173783934491f2bdec95b5e2ce03
